symbol,trade_date,lastest_price,ths_option_code_option,ths_underlying_code_option,ths_maturity_date_option,option_type,strike_price,underlying_price,trading_days_left,tenor_bucket,T,call_price,put_price,F,log_moneyness,moneyness_bucket,standardised_residual,daily_mispricing_signal
HO2303-C-2350.CFE,2023-01-03,319.2,HO2303-C-2350,000016.SH,20230317,C,2350.0,2645.4828,48,MT,0.1983471074380165,319.2,7.2,2663.522646809597,-0.1252342218331982,PW,0.2058022766165182,0.1667913254980007
HO2303-P-2350.CFE,2023-01-03,7.2,HO2303-P-2350,000016.SH,20230317,P,2350.0,2645.4828,48,MT,0.1983471074380165,319.2,7.2,2663.522646809597,-0.1252342218331982,PW,0.2058022766165182,0.1667913254980007
HO2301-C-2375.CFE,2023-01-03,280.6,HO2301-C-2375,000016.SH,20230120,C,2375.0,2645.4828,13,ST,0.0537190082644628,280.6,0.3,2655.755786719217,-0.1117318421287483,PW,-7.741881362203695,-4.414966932060654
HO2301-P-2375.CFE,2023-01-03,0.3,HO2301-P-2375,000016.SH,20230120,P,2375.0,2645.4828,13,ST,0.0537190082644628,280.6,0.3,2655.755786719217,-0.1117318421287483,PW,-7.741881362203695,-4.414966932060654
HO2302-C-2375.CFE,2023-01-03,289.4,HO2302-C-2375,000016.SH,20230217,C,2375.0,2645.4828,28,ST,0.1157024793388429,289.4,4.2,2660.9233258877684,-0.1136757400719323,PW,0.353523761469668,0.1677648580768963
HO2302-P-2375.CFE,2023-01-03,4.2,HO2302-P-2375,000016.SH,20230217,P,2375.0,2645.4828,28,ST,0.1157024793388429,289.4,4.2,2660.9233258877684,-0.1136757400719323,PW,0.353523761469668,0.1677648580768963
HO2301-C-2400.CFE,2023-01-03,256.4,HO2301-C-2400,000016.SH,20230120,C,2400.0,2645.4828,13,ST,0.0537190082644628,256.4,0.5,2655.7557867192168,-0.1012605422614527,PW,-0.9405042597978012,-2.2676110516452623
HO2301-P-2400.CFE,2023-01-03,0.5,HO2301-P-2400,000016.SH,20230120,P,2400.0,2645.4828,13,ST,0.0537190082644628,256.4,0.5,2655.7557867192168,-0.1012605422614527,PW,-0.9405042597978012,-2.2676110516452623
HO2302-C-2400.CFE,2023-01-03,265.3,HO2302-C-2400,000016.SH,20230217,C,2400.0,2645.4828,28,ST,0.1157024793388429,265.3,5.4,2660.9233258877684,-0.103204440204637,PW,-0.1666662882441338,-0.0799194201292238
HO2302-P-2400.CFE,2023-01-03,5.4,HO2302-P-2400,000016.SH,20230217,P,2400.0,2645.4828,28,ST,0.1157024793388429,265.3,5.4,2660.9233258877684,-0.103204440204637,PW,-0.1666662882441338,-0.0799194201292238
HO2303-C-2400.CFE,2023-01-03,273.8,HO2303-C-2400,000016.SH,20230317,C,2400.0,2645.4828,48,MT,0.1983471074380165,273.8,12.0,2663.522646809597,-0.1041808126353658,PW,0.0138803193108465,0.1737744510356671
HO2303-P-2400.CFE,2023-01-03,12.0,HO2303-P-2400,000016.SH,20230317,P,2400.0,2645.4828,48,MT,0.1983471074380165,273.8,12.0,2663.522646809597,-0.1041808126353658,PW,0.0138803193108465,0.1737744510356671
HO2301-C-2425.CFE,2023-01-03,231.8,HO2301-C-2425,000016.SH,20230120,C,2425.0,2645.4828,13,ST,0.0537190082644628,231.8,0.9,2655.755786719217,-0.0908977552259063,PW,-1.0397008143516495,-2.686206996900029
HO2301-P-2425.CFE,2023-01-03,0.9,HO2301-P-2425,000016.SH,20230120,P,2425.0,2645.4828,13,ST,0.0537190082644628,231.8,0.9,2655.755786719217,-0.0908977552259063,PW,-1.0397008143516495,-2.686206996900029
HO2302-C-2425.CFE,2023-01-03,242.5,HO2302-C-2425,000016.SH,20230217,C,2425.0,2645.4828,28,ST,0.1157024793388429,242.5,7.1,2660.923325887768,-0.0928416531690902,PW,0.3008367292791145,0.1685969692652873
HO2302-P-2425.CFE,2023-01-03,7.1,HO2302-P-2425,000016.SH,20230217,P,2425.0,2645.4828,28,ST,0.1157024793388429,242.5,7.1,2660.923325887768,-0.0928416531690902,PW,0.3008367292791145,0.1685969692652873
HO2303-C-2425.CFE,2023-01-03,252.1,HO2303-C-2425,000016.SH,20230317,C,2425.0,2645.4828,48,MT,0.1983471074380165,252.1,15.3,2663.522646809597,-0.0938180255998193,PW,0.0592531131582775,0.2832351172671669
HO2303-P-2425.CFE,2023-01-03,15.3,HO2303-P-2425,000016.SH,20230317,P,2425.0,2645.4828,48,MT,0.1983471074380165,252.1,15.3,2663.522646809597,-0.0938180255998193,PW,0.0592531131582775,0.2832351172671669
HO2301-C-2450.CFE,2023-01-03,207.3,HO2301-C-2450,000016.SH,20230120,C,2450.0,2645.4828,13,ST,0.0537190082644628,207.3,1.2999999999999998,2655.755786719217,-0.0806412550587172,PW,-1.3116659538249664,-2.388223737594455
HO2301-P-2450.CFE,2023-01-03,1.2999999999999998,HO2301-P-2450,000016.SH,20230120,P,2450.0,2645.4828,13,ST,0.0537190082644628,207.3,1.2999999999999998,2655.755786719217,-0.0806412550587172,PW,-1.3116659538249664,-2.388223737594455
HO2302-C-2450.CFE,2023-01-03,219.4,HO2302-C-2450,000016.SH,20230217,C,2450.0,2645.4828,28,ST,0.1157024793388429,219.4,9.2,2660.923325887768,-0.0825851530019011,PW,0.0531084843950502,0.1477645601741933
HO2302-P-2450.CFE,2023-01-03,9.2,HO2302-P-2450,000016.SH,20230217,P,2450.0,2645.4828,28,ST,0.1157024793388429,219.4,9.2,2660.923325887768,-0.0825851530019011,PW,0.0531084843950502,0.1477645601741933
HO2303-C-2450.CFE,2023-01-03,231.2,HO2303-C-2450,000016.SH,20230317,C,2450.0,2645.4828,48,MT,0.1983471074380165,231.2,19.0,2663.522646809597,-0.0835615254326301,PW,0.1684293077635546,0.2548721104301125
HO2303-P-2450.CFE,2023-01-03,19.0,HO2303-P-2450,000016.SH,20230317,P,2450.0,2645.4828,48,MT,0.1983471074380165,231.2,19.0,2663.522646809597,-0.0835615254326301,PW,0.1684293077635546,0.2548721104301125
HO2301-C-2475.CFE,2023-01-03,182.7,HO2301-C-2475,000016.SH,20230120,C,2475.0,2645.4828,13,ST,0.0537190082644628,182.7,2.1,2655.755786719217,-0.0704888835946993,PW,-2.165643988917694,-2.3078657535682194
HO2301-P-2475.CFE,2023-01-03,2.1,HO2301-P-2475,000016.SH,20230120,P,2475.0,2645.4828,13,ST,0.0537190082644628,182.7,2.1,2655.755786719217,-0.0704888835946993,PW,-2.165643988917694,-2.3078657535682194
HO2302-C-2475.CFE,2023-01-03,197.2,HO2302-C-2475,000016.SH,20230217,C,2475.0,2645.4828,28,ST,0.1157024793388429,197.2,11.8,2660.9233258877684,-0.0724327815378832,PW,0.0698386250574403,0.1906124883205768
HO2302-P-2475.CFE,2023-01-03,11.8,HO2302-P-2475,000016.SH,20230217,P,2475.0,2645.4828,28,ST,0.1157024793388429,197.2,11.8,2660.9233258877684,-0.0724327815378832,PW,0.0698386250574403,0.1906124883205768
HO2303-C-2475.CFE,2023-01-03,211.3,HO2303-C-2475,000016.SH,20230317,C,2475.0,2645.4828,48,MT,0.1983471074380165,211.3,23.6,2663.522646809597,-0.0734091539686122,PW,0.3654688316607046,0.2846839328222764
HO2303-P-2475.CFE,2023-01-03,23.6,HO2303-P-2475,000016.SH,20230317,P,2475.0,2645.4828,48,MT,0.1983471074380165,211.3,23.6,2663.522646809597,-0.0734091539686122,PW,0.3654688316607046,0.2846839328222764
HO2301-C-2500.CFE,2023-01-03,159.2,HO2301-C-2500,000016.SH,20230120,C,2500.0,2645.4828,13,ST,0.0537190082644628,159.2,3.5,2655.7557867192168,-0.0604385477411976,PW,-1.4470926391722108,-1.878253123988613
HO2301-P-2500.CFE,2023-01-03,3.5,HO2301-P-2500,000016.SH,20230120,P,2500.0,2645.4828,13,ST,0.0537190082644628,159.2,3.5,2655.7557867192168,-0.0604385477411976,PW,-1.4470926391722108,-1.878253123988613
HO2302-C-2500.CFE,2023-01-03,176.0,HO2302-C-2500,000016.SH,20230217,C,2500.0,2645.4828,28,ST,0.1157024793388429,176.0,15.6,2660.9233258877684,-0.0623824456843818,PW,0.2272655208927372,0.2027068427324137
HO2302-P-2500.CFE,2023-01-03,15.6,HO2302-P-2500,000016.SH,20230217,P,2500.0,2645.4828,28,ST,0.1157024793388429,176.0,15.6,2660.9233258877684,-0.0623824456843818,PW,0.2272655208927372,0.2027068427324137
HO2303-C-2500.CFE,2023-01-03,191.2,HO2303-C-2500,000016.SH,20230317,C,2500.0,2645.4828,48,MT,0.1983471074380165,191.2,29.0,2663.522646809597,-0.0633588181151108,PW,0.1772058703227045,0.3124349468478046
HO2303-P-2500.CFE,2023-01-03,29.0,HO2303-P-2500,000016.SH,20230317,P,2500.0,2645.4828,48,MT,0.1983471074380165,191.2,29.0,2663.522646809597,-0.0633588181151108,PW,0.1772058703227045,0.3124349468478046
HO2302-C-2550.CFE,2023-01-03,135.9,HO2302-C-2550,000016.SH,20230217,C,2550.0,2645.4828,28,ST,0.1157024793388429,135.9,25.5,2660.923325887768,-0.0425798183882019,ATM,0.1977732165026591,0.3412904345191458
HO2302-P-2550.CFE,2023-01-03,25.5,HO2302-P-2550,000016.SH,20230217,P,2550.0,2645.4828,28,ST,0.1157024793388429,135.9,25.5,2660.923325887768,-0.0425798183882019,ATM,0.1977732165026591,0.3412904345191458
HO2303-C-2550.CFE,2023-01-03,155.0,HO2303-C-2550,000016.SH,20230317,C,2550.0,2645.4828,48,MT,0.1983471074380165,155.0,42.6,2663.522646809597,-0.043556190818931,ATM,0.2651453896500064,0.3398167705301523
HO2303-P-2550.CFE,2023-01-03,42.6,HO2303-P-2550,000016.SH,20230317,P,2550.0,2645.4828,48,MT,0.1983471074380165,155.0,42.6,2663.522646809597,-0.043556190818931,ATM,0.2651453896500064,0.3398167705301523
HO2302-C-2600.CFE,2023-01-03,101.2,HO2302-C-2600,000016.SH,20230217,C,2600.0,2645.4828,28,ST,0.1157024793388429,101.2,40.5,2660.9233258877684,-0.0231617325311005,ATM,0.3269737479672832,0.4234495081944068
HO2302-P-2600.CFE,2023-01-03,40.5,HO2302-P-2600,000016.SH,20230217,P,2600.0,2645.4828,28,ST,0.1157024793388429,101.2,40.5,2660.9233258877684,-0.0231617325311005,ATM,0.3269737479672832,0.4234495081944068
HO2302-C-2650.CFE,2023-01-03,72.6,HO2302-C-2650,000016.SH,20230217,C,2650.0,2645.4828,28,ST,0.1157024793388429,72.6,61.400000000000006,2660.9233258877684,-0.0041135375604059,ATM,0.4358230699670719,0.502738663991274
HO2302-P-2650.CFE,2023-01-03,61.400000000000006,HO2302-P-2650,000016.SH,20230217,P,2650.0,2645.4828,28,ST,0.1157024793388429,72.6,61.400000000000006,2660.9233258877684,-0.0041135375604059,ATM,0.4358230699670719,0.502738663991274
HO2303-C-2650.CFE,2023-01-03,96.3,HO2303-C-2650,000016.SH,20230317,C,2650.0,2645.4828,48,MT,0.1983471074380165,96.3,82.19999999999999,2663.522646809597,-0.0050899099911349,ATM,0.5451093573465117,0.4522633413491661
HO2303-P-2650.CFE,2023-01-03,82.19999999999999,HO2303-P-2650,000016.SH,20230317,P,2650.0,2645.4828,48,MT,0.1983471074380165,96.3,82.19999999999999,2663.522646809597,-0.0050899099911349,ATM,0.5451093573465117,0.4522633413491661
HO2302-C-2700.CFE,2023-01-03,49.900000000000006,HO2302-C-2700,000016.SH,20230217,C,2700.0,2645.4828,28,ST,0.1157024793388429,49.900000000000006,88.6,2660.923325887768,0.0145785954517466,ATM,0.3686875584213162,0.3352006544197374
HO2302-P-2700.CFE,2023-01-03,88.6,HO2302-P-2700,000016.SH,20230217,P,2700.0,2645.4828,28,ST,0.1157024793388429,49.900000000000006,88.6,2660.923325887768,0.0145785954517466,ATM,0.3686875584213162,0.3352006544197374
HO2303-C-2700.CFE,2023-01-03,72.9,HO2303-C-2700,000016.SH,20230317,C,2700.0,2645.4828,48,MT,0.1983471074380165,72.9,109.8,2663.522646809597,0.0136022230210175,ATM,0.3569844791131183,0.3700744898554988
HO2303-P-2700.CFE,2023-01-03,109.8,HO2303-P-2700,000016.SH,20230317,P,2700.0,2645.4828,48,MT,0.1983471074380165,72.9,109.8,2663.522646809597,0.0136022230210175,ATM,0.3569844791131183,0.3700744898554988
HO2301-C-2750.CFE,2023-01-03,10.3,HO2301-C-2750,000016.SH,20230120,C,2750.0,2645.4828,13,ST,0.0537190082644628,10.3,104.5,2655.755786719217,0.034871632063127,ATM,0.3212555328470661,-2.537580813903343
HO2301-P-2750.CFE,2023-01-03,104.5,HO2301-P-2750,000016.SH,20230120,P,2750.0,2645.4828,13,ST,0.0537190082644628,10.3,104.5,2655.755786719217,0.034871632063127,ATM,0.3212555328470661,-2.537580813903343
HO2302-C-2750.CFE,2023-01-03,33.0,HO2302-C-2750,000016.SH,20230217,C,2750.0,2645.4828,28,ST,0.1157024793388429,33.0,121.6,2660.9233258877684,0.0329277341199431,ATM,0.2474856018736321,0.2331922211191744
HO2302-P-2750.CFE,2023-01-03,121.6,HO2302-P-2750,000016.SH,20230217,P,2750.0,2645.4828,28,ST,0.1157024793388429,33.0,121.6,2660.9233258877684,0.0329277341199431,ATM,0.2474856018736321,0.2331922211191744
HO2303-C-2750.CFE,2023-01-03,54.1,HO2303-C-2750,000016.SH,20230317,C,2750.0,2645.4828,48,MT,0.1983471074380165,54.1,139.7,2663.522646809597,0.031951361689214,ATM,0.1979117598617409,0.2796421044865708
HO2303-P-2750.CFE,2023-01-03,139.7,HO2303-P-2750,000016.SH,20230317,P,2750.0,2645.4828,48,MT,0.1983471074380165,54.1,139.7,2663.522646809597,0.031951361689214,ATM,0.1979117598617409,0.2796421044865708
HO2301-C-2800.CFE,2023-01-03,3.7,HO2301-C-2800,000016.SH,20230120,C,2800.0,2645.4828,13,ST,0.0537190082644628,3.7,148.0,2655.755786719217,0.0528901375658052,CW,-1.28666138002259,-3.4768157259307206
HO2301-P-2800.CFE,2023-01-03,148.0,HO2301-P-2800,000016.SH,20230120,P,2800.0,2645.4828,13,ST,0.0537190082644628,3.7,148.0,2655.755786719217,0.0528901375658052,CW,-1.28666138002259,-3.4768157259307206
HO2302-C-2800.CFE,2023-01-03,20.9,HO2302-C-2800,000016.SH,20230217,C,2800.0,2645.4828,28,ST,0.1157024793388429,20.9,160.2,2660.923325887768,0.0509462396226215,CW,0.0292252823704877,0.1062778634214255
HO2302-P-2800.CFE,2023-01-03,160.2,HO2302-P-2800,000016.SH,20230217,P,2800.0,2645.4828,28,ST,0.1157024793388429,20.9,160.2,2660.923325887768,0.0509462396226215,CW,0.0292252823704877,0.1062778634214255
HO2303-C-2800.CFE,2023-01-03,39.7,HO2303-C-2800,000016.SH,20230317,C,2800.0,2645.4828,48,MT,0.1983471074380165,39.7,175.60000000000002,2663.522646809597,0.0499698671918924,ATM,0.1600060214561022,0.1291754604829211
HO2303-P-2800.CFE,2023-01-03,175.60000000000002,HO2303-P-2800,000016.SH,20230317,P,2800.0,2645.4828,48,MT,0.1983471074380165,39.7,175.60000000000002,2663.522646809597,0.0499698671918924,ATM,0.1600060214561022,0.1291754604829211
HO2301-C-2850.CFE,2023-01-03,1.2999999999999998,HO2301-C-2850,000016.SH,20230120,C,2850.0,2645.4828,13,ST,0.0537190082644628,1.2999999999999998,195.2,2655.7557867192168,0.0705897146652064,CW,-1.7256071418824457,-3.7983488103644647
HO2301-P-2850.CFE,2023-01-03,195.2,HO2301-P-2850,000016.SH,20230120,P,2850.0,2645.4828,13,ST,0.0537190082644628,1.2999999999999998,195.2,2655.7557867192168,0.0705897146652064,CW,-1.7256071418824457,-3.7983488103644647
HO2302-C-2850.CFE,2023-01-03,13.4,HO2302-C-2850,000016.SH,20230217,C,2850.0,2645.4828,28,ST,0.1157024793388429,13.4,201.8,2660.923325887768,0.0686458167220224,CW,0.1666921304759777,0.1293897668609853
HO2302-P-2850.CFE,2023-01-03,201.8,HO2302-P-2850,000016.SH,20230217,P,2850.0,2645.4828,28,ST,0.1157024793388429,13.4,201.8,2660.923325887768,0.0686458167220224,CW,0.1666921304759777,0.1293897668609853
HO2303-C-2850.CFE,2023-01-03,28.6,HO2303-C-2850,000016.SH,20230317,C,2850.0,2645.4828,48,MT,0.1983471074380165,28.6,214.1,2663.522646809597,0.0676694442912933,CW,0.109813333946023,0.1177864851497134
HO2303-P-2850.CFE,2023-01-03,214.1,HO2303-P-2850,000016.SH,20230317,P,2850.0,2645.4828,48,MT,0.1983471074380165,28.6,214.1,2663.522646809597,0.0676694442912933,CW,0.109813333946023,0.1177864851497134
HO2301-C-2900.CFE,2023-01-03,0.5,HO2301-C-2900,000016.SH,20230120,C,2900.0,2645.4828,13,ST,0.0537190082644628,0.5,244.2,2655.755786719217,0.0879814573770755,CW,-1.5137165751832613,-3.280630480164136
HO2301-P-2900.CFE,2023-01-03,244.2,HO2301-P-2900,000016.SH,20230120,P,2900.0,2645.4828,13,ST,0.0537190082644628,0.5,244.2,2655.755786719217,0.0879814573770755,CW,-1.5137165751832613,-3.280630480164136
HO2302-C-2900.CFE,2023-01-03,8.2,HO2302-C-2900,000016.SH,20230217,C,2900.0,2645.4828,28,ST,0.1157024793388429,8.2,246.3,2660.9233258877684,0.0860375594338914,CW,0.0880723249701785,0.1854263713096482
HO2302-P-2900.CFE,2023-01-03,246.3,HO2302-P-2900,000016.SH,20230217,P,2900.0,2645.4828,28,ST,0.1157024793388429,8.2,246.3,2660.9233258877684,0.0860375594338914,CW,0.0880723249701785,0.1854263713096482
HO2303-C-2900.CFE,2023-01-03,20.6,HO2303-C-2900,000016.SH,20230317,C,2900.0,2645.4828,48,MT,0.1983471074380165,20.6,255.6,2663.522646809597,0.0850611870031626,CW,0.197033972638361,0.0260866569506185
HO2303-P-2900.CFE,2023-01-03,255.6,HO2303-P-2900,000016.SH,20230317,P,2900.0,2645.4828,48,MT,0.1983471074380165,20.6,255.6,2663.522646809597,0.0850611870031626,CW,0.197033972638361,0.0260866569506185
HO2301-C-2950.CFE,2023-01-03,0.3,HO2301-C-2950,000016.SH,20230120,C,2950.0,2645.4828,13,ST,0.0537190082644628,0.3,293.5,2655.7557867192168,0.1050758907363757,CW,-0.1040915431625576,-1.7076691655631022
HO2301-P-2950.CFE,2023-01-03,293.5,HO2301-P-2950,000016.SH,20230120,P,2950.0,2645.4828,13,ST,0.0537190082644628,0.3,293.5,2655.7557867192168,0.1050758907363757,CW,-0.1040915431625576,-1.7076691655631022
HO2302-C-2950.CFE,2023-01-03,5.1,HO2302-C-2950,000016.SH,20230217,C,2950.0,2645.4828,28,ST,0.1157024793388429,5.1,293.0,2660.923325887768,0.1031319927931916,CW,0.2034138343986105,0.1911441147477028
HO2302-P-2950.CFE,2023-01-03,293.0,HO2302-P-2950,000016.SH,20230217,P,2950.0,2645.4828,28,ST,0.1157024793388429,5.1,293.0,2660.923325887768,0.1031319927931916,CW,0.2034138343986105,0.1911441147477028
HO2303-C-2950.CFE,2023-01-03,14.3,HO2303-C-2950,000016.SH,20230317,C,2950.0,2645.4828,48,MT,0.1983471074380165,14.3,299.6,2663.522646809597,0.1021556203624626,CW,0.0988592522797698,0.191781389281532
HO2303-P-2950.CFE,2023-01-03,299.6,HO2303-P-2950,000016.SH,20230317,P,2950.0,2645.4828,48,MT,0.1983471074380165,14.3,299.6,2663.522646809597,0.1021556203624626,CW,0.0988592522797698,0.191781389281532
HO2302-C-3000.CFE,2023-01-03,3.2,HO2302-C-3000,000016.SH,20230217,C,3000.0,2645.4828,28,ST,0.1157024793388429,3.2,340.9,2660.9233258877684,0.1199391111095728,CW,0.3884460750554085,0.4711215522879778
HO2302-P-3000.CFE,2023-01-03,340.9,HO2302-P-3000,000016.SH,20230217,P,3000.0,2645.4828,28,ST,0.1157024793388429,3.2,340.9,2660.9233258877684,0.1199391111095728,CW,0.3884460750554085,0.4711215522879778
HO2303-C-3000.CFE,2023-01-03,10.3,HO2303-C-3000,000016.SH,20230317,C,3000.0,2645.4828,48,MT,0.1983471074380165,10.3,345.29999999999995,2663.522646809597,0.1189627386788437,CW,0.330024332474889,0.4239499746686659
HO2303-P-3000.CFE,2023-01-03,345.29999999999995,HO2303-P-3000,000016.SH,20230317,P,3000.0,2645.4828,48,MT,0.1983471074380165,10.3,345.29999999999995,2663.522646809597,0.1189627386788437,CW,0.330024332474889,0.4239499746686659
HO2301-C-2325.CFE,2023-01-04,327.9,HO2301-C-2325,000016.SH,20230120,C,2325.0,2650.2251,12,ST,0.0495867768595041,327.9,0.3,2653.1383302864124,-0.132023175837426,PW,1.5946683740447396,0.9758544299092864
HO2301-P-2325.CFE,2023-01-04,0.3,HO2301-P-2325,000016.SH,20230120,P,2325.0,2650.2251,12,ST,0.0495867768595041,327.9,0.3,2653.1383302864124,-0.132023175837426,PW,1.5946683740447396,0.9758544299092864
HO2302-C-2325.CFE,2023-01-04,335.0,HO2302-C-2325,000016.SH,20230217,C,2325.0,2650.2251,27,ST,0.1115702479338843,335.0,2.7,2658.1149038718763,-0.1338971497650268,PW,0.4009601505649942,0.536953799975929
HO2302-P-2325.CFE,2023-01-04,2.7,HO2302-P-2325,000016.SH,20230217,P,2325.0,2650.2251,27,ST,0.1115702479338843,335.0,2.7,2658.1149038718763,-0.1338971497650268,PW,0.4009601505649942,0.536953799975929
HO2303-C-2325.CFE,2023-01-04,339.29999999999995,HO2303-C-2325,000016.SH,20230317,C,2325.0,2650.2251,47,MT,0.1942148760330578,339.29999999999995,5.9,2660.430692557764,-0.1347679851429509,PW,0.4318651361432682,0.2946221393103631
HO2303-P-2325.CFE,2023-01-04,5.9,HO2303-P-2325,000016.SH,20230317,P,2325.0,2650.2251,47,MT,0.1942148760330578,339.29999999999995,5.9,2660.430692557764,-0.1347679851429509,PW,0.4318651361432682,0.2946221393103631
HO2301-C-2350.CFE,2023-01-04,303.3,HO2301-C-2350,000016.SH,20230120,C,2350.0,2650.2251,12,ST,0.0495867768595041,303.3,0.3,2653.1383302864124,-0.121327886720678,PW,-2.851831250063109,-0.7273887367356862
HO2301-P-2350.CFE,2023-01-04,0.3,HO2301-P-2350,000016.SH,20230120,P,2350.0,2650.2251,12,ST,0.0495867768595041,303.3,0.3,2653.1383302864124,-0.121327886720678,PW,-2.851831250063109,-0.7273887367356862
HO2302-C-2350.CFE,2023-01-04,310.7,HO2302-C-2350,000016.SH,20230217,C,2350.0,2650.2251,27,ST,0.1115702479338843,310.7,3.5,2658.1149038718763,-0.1232018606482788,PW,0.0919901104341643,0.2012619174327203
HO2302-P-2350.CFE,2023-01-04,3.5,HO2302-P-2350,000016.SH,20230217,P,2350.0,2650.2251,27,ST,0.1115702479338843,310.7,3.5,2658.1149038718763,-0.1232018606482788,PW,0.0919901104341643,0.2012619174327203
HO2303-C-2350.CFE,2023-01-04,315.8,HO2303-C-2350,000016.SH,20230317,C,2350.0,2650.2251,47,MT,0.1942148760330578,315.8,7.4,2660.4306925577644,-0.1240726960262031,PW,0.2014098680444666,0.1950958362554958
HO2303-P-2350.CFE,2023-01-04,7.4,HO2303-P-2350,000016.SH,20230317,P,2350.0,2650.2251,47,MT,0.1942148760330578,315.8,7.4,2660.4306925577644,-0.1240726960262031,PW,0.2014098680444666,0.1950958362554958
HO2301-C-2375.CFE,2023-01-04,278.0,HO2301-C-2375,000016.SH,20230120,C,2375.0,2650.2251,12,ST,0.0495867768595041,278.0,0.3,2653.1383302864124,-0.110745777390141,PW,-1.329922889684651,-2.017490316857351
HO2301-P-2375.CFE,2023-01-04,0.3,HO2301-P-2375,000016.SH,20230120,P,2375.0,2650.2251,12,ST,0.0495867768595041,278.0,0.3,2653.1383302864124,-0.110745777390141,PW,-1.329922889684651,-2.017490316857351
HO2302-C-2375.CFE,2023-01-04,287.1,HO2302-C-2375,000016.SH,20230217,C,2375.0,2650.2251,27,ST,0.1115702479338843,287.1,4.4,2658.1149038718763,-0.1126197513177418,PW,0.4102632646402957,0.2410560321687892
HO2302-P-2375.CFE,2023-01-04,4.4,HO2302-P-2375,000016.SH,20230217,P,2375.0,2650.2251,27,ST,0.1115702479338843,287.1,4.4,2658.1149038718763,-0.1126197513177418,PW,0.4102632646402957,0.2410560321687892
HO2303-C-2375.CFE,2023-01-04,292.6,HO2303-C-2375,000016.SH,20230317,C,2375.0,2650.2251,47,MT,0.1942148760330578,292.6,9.4,2660.430692557764,-0.1134905866956659,PW,-0.0264176732565643,0.1902040289444604
HO2303-P-2375.CFE,2023-01-04,9.4,HO2303-P-2375,000016.SH,20230317,P,2375.0,2650.2251,47,MT,0.1942148760330578,292.6,9.4,2660.430692557764,-0.1134905866956659,PW,-0.0264176732565643,0.1902040289444604
HO2301-C-2400.CFE,2023-01-04,253.2,HO2301-C-2400,000016.SH,20230120,C,2400.0,2650.2251,12,ST,0.0495867768595041,253.2,0.5,2653.1383302864124,-0.1002744775228457,PW,-9.58296392867816,-3.5928294516334147
HO2301-P-2400.CFE,2023-01-04,0.5,HO2301-P-2400,000016.SH,20230120,P,2400.0,2650.2251,12,ST,0.0495867768595041,253.2,0.5,2653.1383302864124,-0.1002744775228457,PW,-9.58296392867816,-3.5928294516334147
